dataset,method,seed,truth_quality,evaluation_valid,mean_lead_time,median_lead_time,std_lead_time,detection_coverage,missed_drift_rate,batch_far,event_far,alert_episodes,false_alert_episodes,drift_events,detected_events,eligible_batches,false_batch_alerts,lead_time_sum,evaluated_batches,total_adaptations,adaptations_per_100_batches,false_adaptations,true_event_related_adaptations,adaptation_precision,accuracy_recovery_batches,recovery_coverage
insects_abrupt_balanced,GRU,11,published_instance_positions_mapped_to_batches,True,2.0,2.0,0.0,0.5,0.5,0.4262295081967213,0.9375,16,15,2,1,305,130,2,315,16,5.079365079365079,15,1,0.0625,0.0,0.5
insects_abrupt_balanced,GRU,22,published_instance_positions_mapped_to_batches,True,1.0,1.0,0.0,0.5,0.5,0.10491803278688525,0.9090909090909091,11,10,2,1,305,32,1,315,11,3.492063492063492,10,1,0.09090909090909091,0.0,0.5
insects_abrupt_balanced,GRU,33,published_instance_positions_mapped_to_batches,True,3.0,3.0,0.0,0.5,0.5,0.16393442622950818,0.9444444444444444,18,17,2,1,305,50,3,315,18,5.714285714285714,17,1,0.05555555555555555,6.5,1.0
insects_abrupt_balanced,TRANSFORMER,11,published_instance_positions_mapped_to_batches,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,305,0,0,315,0,0.0,0,0,0.0,,0.0
insects_abrupt_balanced,TRANSFORMER,22,published_instance_positions_mapped_to_batches,True,0.0,0.0,0.0,0.0,1.0,0.006557377049180328,1.0,1,1,2,0,305,2,0,315,1,0.31746031746031744,1,0,0.0,,0.0
insects_abrupt_balanced,TRANSFORMER,33,published_instance_positions_mapped_to_batches,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,305,0,0,315,0,0.0,0,0,0.0,,0.0
insects_abrupt_balanced,LSTM,11,published_instance_positions_mapped_to_batches,True,4.0,4.0,0.0,0.5,0.5,0.16393442622950818,0.9285714285714286,14,13,2,1,305,50,4,315,14,4.444444444444445,13,1,0.07142857142857142,0.5,1.0
insects_abrupt_balanced,LSTM,22,published_instance_positions_mapped_to_batches,True,0.0,0.0,0.0,0.0,1.0,0.013114754098360656,1.0,1,1,2,0,305,4,0,315,1,0.31746031746031744,1,0,0.0,1.0,0.5
insects_abrupt_balanced,LSTM,33,published_instance_positions_mapped_to_batches,True,0.0,0.0,0.0,0.0,1.0,0.3475409836065574,1.0,17,17,2,0,305,106,0,315,17,5.396825396825397,17,0,0.0,42.0,0.5
insects_abrupt_balanced,LOGISTIC REGRESSION,11,published_instance_positions_mapped_to_batches,True,0.0,0.0,0.0,0.0,1.0,0.06885245901639345,1.0,17,17,2,0,305,21,0,315,17,5.396825396825397,17,0,0.0,6.0,0.5
insects_abrupt_balanced,LOGISTIC REGRESSION,22,published_instance_positions_mapped_to_batches,True,0.0,0.0,0.0,0.0,1.0,0.06885245901639345,1.0,17,17,2,0,305,21,0,315,17,5.396825396825397,17,0,0.0,6.0,0.5
insects_abrupt_balanced,LOGISTIC REGRESSION,33,published_instance_positions_mapped_to_batches,True,0.0,0.0,0.0,0.0,1.0,0.06885245901639345,1.0,17,17,2,0,305,21,0,315,17,5.396825396825397,17,0,0.0,6.0,0.5
insects_abrupt_balanced,ADWIN,-1,published_instance_positions_mapped_to_batches,True,4.0,4.0,0.0,0.5,0.5,0.022950819672131147,0.875,8,7,2,1,305,7,4,315,8,2.5396825396825395,7,1,0.125,15.5,1.0
insects_abrupt_balanced,DDM,-1,published_instance_positions_mapped_to_batches,True,2.0,2.0,0.0,0.5,0.5,0.006557377049180328,0.6666666666666666,3,2,2,1,305,2,2,315,3,0.9523809523809523,2,1,0.3333333333333333,77.5,1.0
insects_abrupt_balanced,KSWIN,-1,published_instance_positions_mapped_to_batches,True,0.0,0.0,0.0,0.0,1.0,0.02622950819672131,1.0,8,8,2,0,305,8,0,315,8,2.5396825396825395,8,0,0.0,11.0,0.5
