epoch,train_loss,validation_loss
1,1.2858617776409007,1.273665852907325
2,1.2673443439027419,1.2734842160168816
3,1.2479730366973438,1.2739387880854245
4,1.2375313953982305,1.2743959266598486
5,1.2202736802334744,1.2747480568765592
6,1.2049056178211135,1.2742368874429655
7,1.1869650254675566,1.2724238724267782
8,1.1556820982814866,1.268898701467434
9,1.1191216896178056,1.2640297533083362
10,1.0810586942375908,1.2625386514583556
11,1.0472405894688983,1.2794519712944992
12,1.0505954044353034,1.3195965650702726
13,1.027441919365259,1.3679526853962105
14,1.008145350200642,1.4235755716051375
15,0.9498627019203362,1.5063973034129423
16,0.9116351949722005,1.6303004717626493
