dataset,model,seed,status,train_positive,train_negative,pos_weight,decision_threshold,fraction_test_predicted_positive,best_epoch,best_validation_loss,input_features,sequence_length,uses_padding_mask,validation_probability_min,validation_probability_p10,validation_probability_median,validation_probability_p90,validation_probability_max,validation_probability_mean,test_probability_min,test_probability_p10,test_probability_median,test_probability_p90,test_probability_max,test_probability_mean,class_weight
synth_sea_abrupt,GRU,11,trained_and_restored,30,317,10.566666666666666,0.44999999999999996,0.3697478991596639,11.0,1.2244774774343026,11.0,10.0,False,0.1634684056043625,0.23205019533634186,0.36782386898994446,0.5094151377677918,0.5629369020462036,0.3705706000328064,0.1638837456703186,0.24722710251808167,0.39976510405540466,0.535907244682312,0.6608132719993591,0.39468252658843994,
synth_sea_abrupt,GRU,22,trained_and_restored,30,317,10.566666666666666,0.3,0.8151260504201681,10.0,1.2625386514583556,11.0,10.0,False,0.19470401108264923,0.2797352373600006,0.3837527930736542,0.49373291730880736,0.5964791178703308,0.3834686577320099,0.20188477635383606,0.2676237940788269,0.3951711654663086,0.5283979654312134,0.612889289855957,0.4014427363872528,
synth_sea_abrupt,GRU,33,trained_and_restored,30,317,10.566666666666666,0.44999999999999996,0.9747899159663865,1.0,1.2616954911656741,11.0,10.0,False,0.44436007738113403,0.4644316077232361,0.47963747382164,0.4926885664463043,0.5236810445785522,0.47880810499191284,0.4396272599697113,0.4623671114444733,0.4813147783279419,0.5025068283081054,0.533739447593689,0.4818858802318573,
synth_sea_abrupt,TRANSFORMER,11,trained_and_restored,30,317,10.566666666666666,0.39999999999999997,0.5042016806722689,1.0,1.24123532631818,11.0,10.0,False,0.2305281013250351,0.2937018215656281,0.3891634941101074,0.5256145596504211,0.6305051445960999,0.3970884084701538,0.22385282814502716,0.3022608578205109,0.4024967551231384,0.4987988948822022,0.6438814401626587,0.40397292375564575,
synth_sea_abrupt,TRANSFORMER,22,trained_and_restored,30,317,10.566666666666666,0.49999999999999994,0.0,3.0,1.358354376143768,11.0,10.0,False,0.20359034836292267,0.27547269463539126,0.3465237021446228,0.42067809104919435,0.5095093250274658,0.34598347544670105,0.19367358088493347,0.2655060052871704,0.36253535747528076,0.4351196169853211,0.4948364496231079,0.35595956444740295,
synth_sea_abrupt,TRANSFORMER,33,trained_and_restored,30,317,10.566666666666666,0.2,0.9747899159663865,3.0,1.4234903920598392,11.0,10.0,False,0.2075686901807785,0.2734026789665222,0.37553805112838745,0.4615476727485657,0.5576000809669495,0.3683945834636688,0.18634527921676636,0.27268202900886535,0.3946433961391449,0.5034871220588684,0.5861660838127136,0.3879897892475128,
synth_sea_abrupt,LSTM,11,trained_and_restored,30,317,10.566666666666666,0.44999999999999996,1.0,1.0,1.2645718750833463,11.0,10.0,False,0.4503639042377472,0.47329427003860475,0.4901799261569977,0.504163944721222,0.5140224099159241,0.4887208044528961,0.4586566388607025,0.4735728561878204,0.48906973004341125,0.503032922744751,0.5174255967140198,0.4884317219257355,
synth_sea_abrupt,LSTM,22,trained_and_restored,30,317,10.566666666666666,0.44999999999999996,0.9747899159663865,1.0,1.2569089496836943,11.0,10.0,False,0.44339966773986816,0.45779194235801696,0.4707236588001251,0.489910352230072,0.5179122686386108,0.47289586067199707,0.4446222484111786,0.45639411807060243,0.46904662251472473,0.48944823145866395,0.514356255531311,0.4714924395084381,
synth_sea_abrupt,LSTM,33,trained_and_restored,30,317,10.566666666666666,0.44999999999999996,1.0,1.0,1.2802628008257442,11.0,10.0,False,0.486016184091568,0.5058694839477539,0.5235865116119385,0.5392530202865601,0.5601001977920532,0.5231813192367554,0.4952876567840576,0.5082465529441833,0.5241593718528748,0.5381412267684936,0.5566017031669617,0.5242327451705933,
synth_sea_abrupt,LOGISTIC REGRESSION,11,trained_and_restored,30,317,,0.05,0.9327731092436975,,,11.0,1.0,False,0.00460734113727889,0.2646707529415955,0.4644869632149247,0.648089026022192,0.8302315200071301,0.44970172555631965,0.004962787168661391,0.2622518422921698,0.48775474204933006,0.6696225447383464,0.8075005207403567,0.4693707647374333,balanced
synth_sea_abrupt,LOGISTIC REGRESSION,22,trained_and_restored,30,317,,0.05,0.9327731092436975,,,11.0,1.0,False,0.00460734113727889,0.2646707529415955,0.4644869632149247,0.648089026022192,0.8302315200071301,0.44970172555631965,0.004962787168661391,0.2622518422921698,0.48775474204933006,0.6696225447383464,0.8075005207403567,0.4693707647374333,balanced
synth_sea_abrupt,LOGISTIC REGRESSION,33,trained_and_restored,30,317,,0.05,0.9327731092436975,,,11.0,1.0,False,0.00460734113727889,0.2646707529415955,0.4644869632149247,0.648089026022192,0.8302315200071301,0.44970172555631965,0.004962787168661391,0.2622518422921698,0.48775474204933006,0.6696225447383464,0.8075005207403567,0.4693707647374333,balanced
synth_sea_gradual,GRU,11,trained_and_restored,30,317,10.566666666666666,0.49999999999999994,0.5378151260504201,1.0,1.2371951091189344,11.0,10.0,False,0.4652371406555176,0.4764642059803009,0.49827077984809875,0.5185827732086181,0.5441989302635193,0.49846765398979187,0.4703078269958496,0.48272274136543275,0.5017279982566833,0.521538782119751,0.5521461367607117,0.5018087029457092,
synth_sea_gradual,GRU,22,trained_and_restored,30,317,10.566666666666666,0.49999999999999994,0.13445378151260504,1.0,1.2273453944871406,11.0,10.0,False,0.4042609930038452,0.4531937539577484,0.4806302487850189,0.5130738139152526,0.5554776787757874,0.48143309354782104,0.4101018011569977,0.447838294506073,0.47331270575523376,0.511513888835907,0.5518571138381958,0.47588545083999634,
synth_sea_gradual,GRU,33,trained_and_restored,30,317,10.566666666666666,0.39999999999999997,1.0,1.0,1.2771748715088147,11.0,10.0,False,0.4295295476913452,0.46234593987464906,0.48314395546913147,0.4982605814933777,0.512028694152832,0.48119011521339417,0.44703346490859985,0.46668583154678345,0.4846658408641815,0.5033664345741272,0.5180934071540833,0.485398530960083,
