batch_id,GRU|11,GRU|22,GRU|33,TRANSFORMER|11,TRANSFORMER|22,TRANSFORMER|33,LSTM|11,LSTM|22,LSTM|33,LOGISTIC REGRESSION|11,LOGISTIC REGRESSION|22,LOGISTIC REGRESSION|33,ADWIN|-1,DDM|-1,KSWIN|-1
1026,0.9,0.9,0.9,0.86,0.88,0.86,0.92,0.88,0.94,0.86,0.86,0.86,0.96,0.9,0.94
1027,0.88,0.86,0.86,0.78,0.8,0.78,0.88,0.8,0.88,0.86,0.86,0.86,0.86,0.9,0.9
1028,0.9,0.96,0.96,0.88,0.86,0.88,0.92,0.88,0.98,0.9,0.9,0.9,0.96,0.94,0.98
1029,0.9,0.88,0.88,0.86,0.84,0.86,0.88,0.84,0.92,0.88,0.88,0.88,0.92,0.88,0.92
1030,0.86,0.9,0.9,0.86,0.86,0.86,0.84,0.86,0.92,0.82,0.82,0.82,0.9,0.84,0.9
1031,0.84,0.9,0.9,0.92,0.98,0.92,0.84,0.98,0.88,0.78,0.78,0.78,0.9,0.94,0.92
1032,0.88,0.82,0.82,0.86,0.84,0.86,0.8,0.86,0.92,0.78,0.78,0.78,0.9,0.84,0.92
1033,0.86,0.82,0.82,0.8,0.86,0.8,0.82,0.82,0.86,0.84,0.84,0.84,0.86,0.86,0.84
1034,0.58,0.54,0.54,0.5,0.46,0.5,0.58,0.48,0.58,0.58,0.58,0.58,0.52,0.56,0.58
1035,0.08,0.08,0.08,0.02,0.06,0.02,0.06,0.06,0.1,0.32,0.32,0.32,0.08,0.12,0.32
1036,0.12,0.42,0.16,0.1,0.06,0.1,0.42,0.06,0.2,0.58,0.58,0.58,0.18,0.14,0.58
1037,0.16,0.3,0.2,0.14,0.06,0.14,0.3,0.06,0.16,0.42,0.42,0.42,0.2,0.04,0.42
1038,0.34,0.68,0.62,0.16,0.02,0.16,0.68,0.06,0.58,0.74,0.74,0.74,0.62,1.0,0.74
1039,0.44,0.62,1.0,0.22,0.1,0.22,0.62,0.08,0.48,0.72,0.72,0.72,1.0,1.0,0.72
1040,0.46,0.62,1.0,0.22,0.12,0.22,0.62,0.12,0.54,0.66,0.66,0.66,1.0,1.0,0.66
1041,0.56,0.76,1.0,0.28,0.1,0.28,0.76,0.08,0.64,0.8,0.8,0.8,1.0,1.0,0.8
1042,0.52,0.7,1.0,0.16,0.12,0.16,0.7,0.12,0.62,0.74,0.74,0.74,1.0,1.0,0.74
1043,0.5,0.94,1.0,0.2,0.06,0.2,0.94,0.06,0.58,0.64,0.64,0.64,1.0,1.0,0.64
1044,0.46,1.0,1.0,0.64,0.04,0.64,1.0,0.04,0.48,0.58,0.58,0.58,1.0,1.0,0.58
1045,0.56,1.0,1.0,0.78,0.16,0.78,1.0,0.08,0.62,0.72,0.72,0.72,1.0,1.0,1.0
1046,0.6,1.0,1.0,0.66,0.06,0.66,1.0,0.06,0.62,0.64,0.64,0.64,1.0,1.0,1.0
1047,0.56,1.0,1.0,0.72,0.24,0.72,1.0,0.2,0.62,0.76,0.76,0.76,1.0,1.0,1.0
1048,0.6,1.0,1.0,0.68,0.2,0.68,1.0,0.12,0.62,1.0,1.0,1.0,1.0,1.0,1.0
1049,0.6,1.0,1.0,0.72,0.2,0.72,1.0,0.18,0.58,1.0,1.0,1.0,1.0,1.0,1.0
