epoch,train_loss,validation_loss
1,1.4110711057421188,2.1145610990403574
2,1.2727228235191024,2.5219800264775
3,1.2425791799602375,3.918128224490564
4,1.5281294543873256,5.708621092989475
5,1.3396551008533004,6.538834507023044
6,0.7749869634830197,7.063500069529761
7,0.3720666812470471,7.719963601837524
