epoch,train_loss,validation_loss
1,1.282577306461609,1.2661023580727457
2,1.2541868082041012,1.266512526183569
3,1.2445971876468713,1.267002255976701
4,1.2191956860874846,1.2665278230394637
5,1.2084643431974076,1.2649727809328992
6,1.185546786022461,1.2621530825350464
7,1.1718362590421518,1.2565415546673686
8,1.1347590921935156,1.2479741753650313
9,1.0959389226924445,1.2366577737471636
10,1.0683967788899666,1.225125152523778
11,1.0135826264059853,1.2244774774343026
12,0.9808085112475524,1.2616112793193144
13,0.9551079477631736,1.3471039784054797
14,0.918217261345998,1.4601452891566173
15,0.8812889068545801,1.5781537564862675
16,0.7928360509941145,1.7139607898327482
17,0.7393970123629061,1.9416976756408435
