dataset,model,seed,threshold,mean_lead_time,median_lead_time,std_lead_time,detection_coverage,missed_drift_rate,batch_far,event_far,alert_episodes,false_alert_episodes,drift_events,detected_events,eligible_batches,false_batch_alerts,lead_time_sum,evaluated_batches,total_adaptations,adaptations_per_100_batches,false_adaptations,true_event_related_adaptations,adaptation_precision
synth_sea_abrupt,GRU,22,0.7999999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,22,0.85,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,22,0.9,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,22,0.95,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,33,0.05,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,GRU,33,0.1,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,GRU,33,0.15,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,GRU,33,0.2,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,GRU,33,0.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,GRU,33,0.3,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,GRU,33,0.35,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,GRU,33,0.39999999999999997,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1,2,0,109,109,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,GRU,33,0.44999999999999996,0.0,0.0,0.0,0.0,1.0,0.9724770642201835,1.0,1,1,2,0,109,106,0,119,1,0.8403361344537815,1,0,0.0
synth_sea_abrupt,GRU,33,0.49999999999999994,3.0,3.0,0.0,0.5,0.5,0.12844036697247707,0.8333333333333334,6,5,2,1,109,14,3,119,6,5.042016806722689,5,1,0.16666666666666666
synth_sea_abrupt,GRU,33,0.5499999999999999,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,33,0.6,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,33,0.65,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,33,0.7,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
synth_sea_abrupt,GRU,33,0.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,2,0,109,0,0,119,0,0.0,0,0,0.0
