dataset,method,total_adaptations_mean,total_adaptations_std,adaptations_per_100_batches_mean,adaptations_per_100_batches_std,false_adaptations_mean,false_adaptations_std,true_event_related_adaptations_mean,true_event_related_adaptations_std,adaptation_precision_mean,adaptation_precision_std
insects_abrupt_balanced,ADWIN,8.0,,2.5396825396825395,,7.0,,1.0,,0.125,
insects_abrupt_balanced,DDM,3.0,,0.9523809523809523,,2.0,,1.0,,0.3333333333333333,
insects_abrupt_balanced,GRU,15.0,3.605551275463989,4.761904761904762,1.1446194525282505,14.0,3.605551275463989,1.0,0.0,0.06965488215488215,0.01873132054837851
insects_abrupt_balanced,KSWIN,8.0,,2.5396825396825395,,8.0,,0.0,,0.0,
insects_abrupt_balanced,LOGISTIC REGRESSION,17.0,0.0,5.396825396825396,0.0,17.0,0.0,0.0,0.0,0.0,0.0
insects_abrupt_balanced,LSTM,10.666666666666666,8.504900548115383,3.386243386243386,2.6999684279731375,10.333333333333334,8.32666399786453,0.3333333333333333,0.5773502691896258,0.023809523809523808,0.041239304942116126
insects_abrupt_balanced,TRANSFORMER,0.3333333333333333,0.5773502691896258,0.10582010582010581,0.18328579974273831,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0
synth_sea_abrupt,ADWIN,2.0,,1.680672268907563,,2.0,,0.0,,0.0,
synth_sea_abrupt,DDM,1.0,,0.8403361344537815,,1.0,,0.0,,0.0,
synth_sea_abrupt,GRU,3.0,2.6457513110645907,2.5210084033613445,2.2233204294660425,2.3333333333333335,2.3094010767585034,0.6666666666666666,0.5773502691896258,0.2222222222222222,0.2545875386086578
synth_sea_abrupt,KSWIN,0.0,,0.0,,0.0,,0.0,,0.0,
synth_sea_abrupt,LOGISTIC REGRESSION,1.0,0.0,0.8403361344537815,0.0,1.0,0.0,0.0,0.0,0.0,0.0
synth_sea_abrupt,LSTM,1.0,0.0,0.8403361344537815,0.0,1.0,0.0,0.0,0.0,0.0,0.0
synth_sea_abrupt,TRANSFORMER,1.3333333333333333,1.5275252316519468,1.1204481792717087,1.2836346484470138,1.3333333333333333,1.5275252316519468,0.0,0.0,0.0,0.0
synth_sea_gradual,ADWIN,2.0,,1.680672268907563,,2.0,,0.0,,0.0,
synth_sea_gradual,DDM,1.0,,0.8403361344537815,,1.0,,0.0,,0.0,
synth_sea_gradual,GRU,4.333333333333333,3.055050463303893,3.641456582633053,2.5672692968940276,3.6666666666666665,2.3094010767585034,0.6666666666666666,1.1547005383792517,0.09523809523809523,0.1649572197684645
synth_sea_gradual,KSWIN,0.0,,0.0,,0.0,,0.0,,0.0,
synth_sea_gradual,LOGISTIC REGRESSION,1.0,0.0,0.8403361344537815,0.0,1.0,0.0,0.0,0.0,0.0,0.0
synth_sea_gradual,LSTM,1.0,0.0,0.8403361344537815,0.0,1.0,0.0,0.0,0.0,0.0,0.0
synth_sea_gradual,TRANSFORMER,3.3333333333333335,3.2145502536643185,2.801120448179272,2.7013027341716964,3.0,2.6457513110645907,0.3333333333333333,0.5773502691896258,0.047619047619047616,0.08247860988423225
