method,precision,recall,f1,pr_auc,mean_lead_time,detection_coverage,batch_far,event_far,missed_drift_rate,accuracy_recovery_batches,recovery_coverage,drift_events,total_adaptations,adaptations_per_100_batches,false_adaptations,true_event_related_adaptations,adaptation_precision
ADWIN,0.08333333333333333,0.03333333333333333,0.04761904761904761,,4.0,0.16666666666666666,0.021032504780114723,0.9166666666666666,0.8333333333333334,20.166666666666668,0.6666666666666666,6,12,2.1699819168173597,11,1,0.08333333333333333
DDM,0.2,0.03333333333333333,0.05714285714285715,,2.0,0.16666666666666666,0.0076481835564053535,0.8,0.8333333333333334,31.5,0.6666666666666666,6,5,0.9041591320072333,4,1,0.2
GRU,0.07692307692307693,0.5777777777777777,0.1357702349869452,0.07799779047821898,2.5714285714285716,0.3888888888888889,0.3977055449330784,0.8955223880597015,0.6111111111111112,2.9285714285714284,0.5555555555555556,18,67,4.038577456298976,60,7,0.1044776119402985
KSWIN,0.0,0.0,0.0,,0.0,0.0,0.015296367112810707,1.0,1.0,11.0,0.16666666666666666,6,8,1.4466546112115732,8,0,0.0
LOGISTIC REGRESSION,0.0796812749003984,0.6666666666666666,0.14234875444839856,0.0755459952397695,0.0,0.0,0.4416826003824092,1.0,1.0,6.0,0.16666666666666666,18,57,3.4358047016274864,57,0,0.0
LSTM,0.07648401826484018,0.7444444444444445,0.13871635610766045,0.08315052042260548,4.0,0.05555555555555555,0.5156150414276609,0.9736842105263158,0.9444444444444444,14.5,0.2222222222222222,18,38,2.2905364677516578,37,1,0.02631578947368421
TRANSFORMER,0.09523809523809523,0.35555555555555557,0.15023474178403756,0.0899963170806137,1.0,0.05555555555555555,0.19375398342893563,0.9333333333333333,0.9444444444444444,4.75,0.16666666666666666,18,15,0.9041591320072333,14,1,0.06666666666666667
