method,datasets,precision,recall,f1,roc_auc,pr_auc,accuracy,mean_lead_time,detection_coverage,batch_far,event_far,missed_drift_rate,accuracy_recovery_batches,recovery_coverage,total_adaptations,adaptations_per_100_batches,false_adaptations,true_event_related_adaptations,adaptation_precision
ADWIN,3,0.041666666666666664,0.03333333333333333,0.037037037037037035,,,0.9158418923124806,1.3333333333333333,0.16666666666666666,0.019882689126184388,0.9583333333333334,0.8333333333333334,20.166666666666668,0.6666666666666666,4.0,1.9670090258325554,3.6666666666666665,0.3333333333333333,0.041666666666666664
DDM,3,0.1111111111111111,0.03333333333333333,0.05128205128205129,,,0.9267351384998443,0.6666666666666666,0.16666666666666666,0.008302000300797113,0.8888888888888888,0.8333333333333334,31.5,0.6666666666666666,1.6666666666666667,0.8776844070961718,1.3333333333333333,0.3333333333333333,0.1111111111111111
GRU,3,0.08106419145469719,0.5777777777777778,0.13449062760954367,0.5508333751107101,0.10386104065042318,0.5178338001867413,1.8333333333333333,0.38888888888888884,0.49721094233050916,0.8709616001282668,0.611111111111111,3.0555555555555554,0.5555555555555555,7.444444444444444,3.641456582633053,6.666666666666667,0.7777777777777777,0.12903839987173318
KSWIN,3,0.0,0.0,0.0,,,0.9249299719887955,0.0,0.0,0.008743169398907104,0.3333333333333333,1.0,11.0,0.16666666666666666,2.6666666666666665,0.8465608465608465,2.6666666666666665,0.0,0.0
LOGISTIC REGRESSION,3,0.05804123451182275,0.6666666666666666,0.10677600529608987,0.5677505389281595,0.09091024332950205,0.37896047307812014,0.0,0.0,0.6651526545345164,1.0,1.0,6.0,0.16666666666666666,6.333333333333333,2.359165888577653,6.333333333333333,0.0,0.0
LSTM,3,0.06684181953997102,0.7444444444444445,0.12218056263158449,0.5375585301047777,0.08427347161185626,0.3288930386969603,0.4444444444444444,0.05555555555555555,0.7198576227001553,0.9920634920634921,0.9444444444444445,14.5,0.2222222222222222,4.222222222222222,1.6889718850503164,4.111111111111112,0.1111111111111111,0.007936507936507936
TRANSFORMER,3,0.046008939974457215,0.35555555555555557,0.07971781305114638,0.4729255861365953,0.1019747018424904,0.6805892727461355,0.1111111111111111,0.05555555555555555,0.3085777309871159,0.6507936507936508,0.9444444444444445,4.75,0.16666666666666666,1.6666666666666667,1.3424629110903623,1.5555555555555554,0.1111111111111111,0.015873015873015872
