dataset,method,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,accuracy_mean,accuracy_std,mean_lead_time_mean,mean_lead_time_std,detection_coverage_mean,detection_coverage_std,batch_far_mean,batch_far_std,event_far_mean,event_far_std,missed_drift_rate_mean,missed_drift_rate_std,accuracy_recovery_batches_mean,accuracy_recovery_batches_std,recovery_coverage_mean,recovery_coverage_std,total_adaptations_mean,total_adaptations_std,adaptations_per_100_batches_mean,adaptations_per_100_batches_std,false_adaptations_mean,false_adaptations_std,true_event_related_adaptations_mean,true_event_related_adaptations_std,adaptation_precision_mean,adaptation_precision_std
insects_abrupt_balanced,GRU,0.031342840166369575,0.012287942280233846,0.26666666666666666,0.28867513459481287,0.053830097991598734,0.025502567125760017,0.5151912568306011,0.08862249190721559,0.0468307119649868,0.018996941313896044,0.7523809523809524,0.15658872958906064,2.0,1.0,0.5,0.0,0.23169398907103825,0.17103737844362518,0.9303451178451178,0.018731320548378515,0.5,0.0,2.1666666666666665,3.752776749732568,0.6666666666666666,0.2886751345948129,15.0,3.605551275463989,4.761904761904762,1.1446194525282505,14.0,3.605551275463989,1.0,0.0,0.06965488215488215,0.01873132054837851
insects_abrupt_balanced,LOGISTIC REGRESSION,0.0,0.0,0.0,0.0,0.0,0.0,0.661967213114754,0.0,0.047871572989270306,0.0,0.9015873015873016,0.0,0.0,0.0,0.0,0.0,0.06885245901639345,0.0,1.0,0.0,1.0,0.0,6.0,0.0,0.5,0.0,17.0,0.0,5.396825396825396,0.0,17.0,0.0,0.0,0.0,0.0,0.0
insects_abrupt_balanced,LSTM,0.0338829395433169,0.029907210592708212,0.26666666666666666,0.2516611478423583,0.05929424111242293,0.05173494105020691,0.6429508196721312,0.053127907701383134,0.07460622661782638,0.01606022157767935,0.8074074074074075,0.1542979070671551,1.3333333333333333,2.3094010767585034,0.16666666666666666,0.2886751345948129,0.17486338797814208,0.16748076725237615,0.9761904761904763,0.04123930494211611,0.8333333333333334,0.28867513459481287,14.5,23.817010727629107,0.6666666666666666,0.28867513459481287,10.666666666666666,8.504900548115383,3.386243386243386,2.6999684279731375,10.333333333333334,8.32666399786453,0.3333333333333333,0.5773502691896258,0.023809523809523808,0.041239304942116126
insects_abrupt_balanced,TRANSFORMER,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0539710374518911,0.025130595937604125,0.0027172255415111287,0.9661375661375661,0.0036657159948547454,0.0,0.0,0.0,0.0,0.002185792349726776,0.0037859034045221365,0.3333333333333333,0.5773502691896258,1.0,0.0,,,0.0,0.0,0.3333333333333333,0.5773502691896258,0.10582010582010581,0.18328579974273831,0.3333333333333333,0.5773502691896258,0.0,0.0,0.0,0.0
synth_sea_abrupt,GRU,0.11613019638259596,0.03815102124263087,0.9,0.17320508075688776,0.2016351019466284,0.051855727369346294,0.6495412844036696,0.16214671735705147,0.14441629840202405,0.045124288902786566,0.3473389355742296,0.2855082466843057,3.0,2.6457513110645907,0.3333333333333333,0.2886751345948129,0.7033639143730888,0.3269884021561448,0.7777777777777778,0.2545875386086578,0.6666666666666666,0.2886751345948129,0.0,0.0,0.3333333333333333,0.2886751345948129,3.0,2.6457513110645907,2.5210084033613445,2.2233204294660425,2.3333333333333335,2.3094010767585034,0.6666666666666666,0.5773502691896258,0.2222222222222222,0.2545875386086578
synth_sea_abrupt,LOGISTIC REGRESSION,0.0900900900900901,0.0,1.0,0.0,0.1652892561983471,0.0,0.5788990825688073,0.0,0.12925067423299297,0.0,0.15126050420168066,0.0,0.0,0.0,0.0,0.0,0.926605504587156,0.0,1.0,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.8403361344537815,0.0,1.0,0.0,0.0,0.0,0.0,0.0
synth_sea_abrupt,LSTM,0.08475804114749348,0.00125474558647412,1.0,0.0,0.1562692260366679,0.0021312302295667233,0.5522935779816515,0.09590996114278343,0.10014007315737057,0.02082354189600806,0.09243697478991597,0.014555048803099806,0.0,0.0,0.0,0.0,0.9908256880733944,0.015890374381365816,1.0,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.8403361344537815,0.0,1.0,0.0,0.0,0.0,0.0,0.0
synth_sea_abrupt,TRANSFORMER,0.06762452107279694,0.06051244736917896,0.5666666666666667,0.5131601439446883,0.11957671957671957,0.10559234748861561,0.5501529051987768,0.07023793135146467,0.1308782762598573,0.017774148273198224,0.5182072829131653,0.4034780410090944,0.0,0.0,0.0,0.0,0.48623853211009177,0.48623853211009177,0.6666666666666666,0.5773502691896258,1.0,0.0,,,0.0,0.0,1.3333333333333333,1.5275252316519468,1.1204481792717087,1.2836346484470138,1.3333333333333333,1.5275252316519468,0.0,0.0,0.0,0.0
synth_sea_gradual,GRU,0.09571953781512606,0.02552914075192506,0.5666666666666667,0.40414518843273806,0.14800668289040383,0.011163025279321436,0.4877675840978593,0.10355328905550865,0.12033611158425866,0.04609684091548404,0.453781512605042,0.3656186540807914,0.5,0.8660254037844386,0.3333333333333333,0.5773502691896258,0.5565749235474006,0.43598096114321877,0.9047619047619048,0.1649572197684645,0.6666666666666666,0.5773502691896258,7.0,9.899494936611665,0.6666666666666666,0.5773502691896258,4.333333333333333,3.055050463303893,3.641456582633053,2.5672692968940276,3.6666666666666665,2.3094010767585034,0.6666666666666666,1.1547005383792517,0.09523809523809523,0.1649572197684645
synth_sea_gradual,LOGISTIC REGRESSION,0.08403361344537814,0.0,1.0,0.0,0.15503875968992248,0.0,0.4623853211009174,0.0,0.0956084827662429,0.0,0.08403361344537814,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,,,0.0,0.0,1.0,0.0,0.8403361344537815,0.0,1.0,0.0,0.0,0.0,0.0,0.0
